일자,기관 합계,기타법인,개인,외국인 합계,전체
"2020/08/18","444","-3711","1121","2146","0"
"2020/08/14","2809","-5673","-15292","18156","0"
"2020/08/13","-35526","7446","23054","5026","0"
"2020/08/12","-41973","2640","15019","24314","0"
"2020/08/11","-2254","183","-523","2594","0"
"2020/08/10","-29053","3176","24917","960","0"
"2020/08/07","-51120","1093","7110","42917","0"
"2020/08/06","-38377","935","5390","32052","0"
"2020/08/05","-16654","3859","7095","5700","0"
"2020/08/04","-6458","4256","5309","-3107","0"
"2020/08/03","-9690","564","-2508","11634","0"
"2020/07/31","-11306","-1235","1219","11322","0"
"2020/07/30","-5488","-1093","-21166","27747","0"
"2020/07/29","7355","50","-4229","-3176","0"
"2020/07/28","-5351","-1977","-16339","23667","0"
"2020/07/27","-5686","1115","-2781","7352","0"
"2020/07/24","-6699","-3241","-27341","37281","0"
"2020/07/23","-3739","-1061","-11753","16553","0"
"2020/07/22","-32","-1336","149","1219","0"
"2020/07/21","1162","477","3229","-4868","0"
"2020/07/20","3429","-694","-7290","4555","0"
"2020/07/17","-2672","-4475","6513","634","0"
"2020/07/16","3768","2904","-32","-6640","0"
"2020/07/15","3541","-3739","-2975","3173","0"
"2020/07/14","4046","81","-9820","5693","0"
"2020/07/13","-2265","-249","-2956","5470","0"
"2020/07/10","6161","-2994","-23436","20269","0"
"2020/07/09","-73478","2087","63961","7430","0"
"2020/07/08","-44870","-14","16252","28632","0"
"2020/07/07","-44202","-556","28932","15826","0"
"2020/07/06","-34763","-1498","22495","13766","0"
"2020/07/03","-23968","3661","10849","9458","0"
"2020/07/02","-21805","-724","11461","11068","0"
"2020/07/01","-30822","-337","3101","28058","0"
"2020/06/30","-10170","3","-5598","15765","0"
"2020/06/29","-8208","-2761","-18533","29502","0"
"2020/06/26","-3285","-1429","-4999","9713","0"
"2020/06/25","-4231","-1459","-6361","12051","0"
"2020/06/24","4953","-1922","-2954","-77","0"
"2020/06/23","-1842","2765","-11981","11058","0"
"2020/06/22","-2321","-490","11805","-8994","0"
"2020/06/19","3783","-3495","18595","-18883","0"
"2020/06/18","-255","1275","11586","-12606","0"
"2020/06/17","4395","-1690","598","-3303","0"
"2020/06/16","4618","-876","-2996","-746","0"
"2020/06/15","7848","-2161","6671","-12358","0"
